,id,symbol,type,opened,closed,avgCost,avgClosePrice,closingPnl,maxOpenInterest,closedVolume,isolated,side,status,updateTime
0,32052019,DOGEUSDT,UM,1713963379617,1714061366315,0.15094253,0.151808,25.96399992,30000.0,30000.0,Cross,Long,All Closed,1714061366911
1,32048356,DOGEUSDT,UM,1713961901702,1713962747612,0.1623,0.16148,0.492,600.0,600.0,Cross,Short,All Closed,1713962748811
2,32037870,DOGEUSDT,UM,1713958083189,1713960801665,0.162985,0.16217,0.978,1200.0,1200.0,Cross,Short,All Closed,1713960801842
3,32021940,DOGEUSDT,UM,1713949735226,1713957974051,0.16123,0.16204,0.486,600.0,600.0,Cross,Long,All Closed,1713957974218
4,32017415,DOGEUSDT,UM,1713947418830,1713949386118,0.16224,0.16138,0.516,600.0,600.0,Cross,Short,All Closed,1713949386270
5,32001644,DOGEUSDT,UM,1713938731359,1713943167941,0.1613,0.16212,0.492,600.0,600.0,Cross,Long,All Closed,1713943168120
6,31990503,DOGEUSDT,UM,1713934096547,1713936854302,0.1625,0.16168,0.492,600.0,600.0,Cross,Short,All Closed,1713936854618
7,31974019,DOGEUSDT,UM,1713928827457,1713932187869,0.162875,0.16206,0.978,1200.0,1200.0,Cross,Short,All Closed,1713933902630
8,31967941,DOGEUSDT,UM,1713925390282,1713925819734,0.16185,0.16095,0.36,400.0,400.0,Cross,Short,All Closed,1713933837319
9,31962903,DOGEUSDT,UM,1713922658316,1713923415148,0.16267,0.16178,0.445,500.0,500.0,Cross,Short,All Closed,1713933831303
10,31854131,DOGEUSDT,UM,1713870445289,1713874937133,0.1579,0.15872,0.41,500.0,500.0,Cross,Long,All Closed,1713874937209
11,31825428,DOGEUSDT,UM,1713855215970,1713861984643,0.157295,0.15812,0.825,1000.0,1000.0,Cross,Long,All Closed,1713861984746
12,31796492,DOGEUSDT,UM,1713840942471,1713851211597,0.15821889,0.15902,1.80249999,2250.0,2250.0,Cross,Long,All Closed,1713851211919
13,31723468,DOGEUSDT,UM,1713798157197,1713800468092,0.1583,0.15912,0.246,300.0,300.0,Cross,Long,All Closed,1713800468252
14,31712836,DOGEUSDT,UM,1713792932583,1713793646440,0.1592,0.16012,0.276,300.0,300.0,Cross,Long,All Closed,1713793646863
15,31696071,DOGEUSDT,UM,1713784213547,1713787802259,0.1593,0.16012,0.246,300.0,300.0,Cross,Long,All Closed,1713787802379
16,31462660,DOGEUSDT,UM,1713669633031,1713670051461,0.165145,0.16418,0.579,600.0,600.0,Cross,Short,All Closed,1713670051612
17,31027439,DOGEUSDT,UM,1713490418854,1713495570185,0.14234708,0.14322,3.14249999,3600.0,3600.0,Cross,Long,All Closed,1713559334335
18,31023280,DOGEUSDT,UM,1713489591008,1713490235122,0.14644,0.14732,0.528,600.0,600.0,Cross,Long,All Closed,1713559047546
19,30876279,DOGEUSDT,UM,1713425572784,1713429172267,0.14212,0.14292,1.08,1350.0,1350.0,Cross,Long,All Closed,1713443723420
20,30870583,DOGEUSDT,UM,1713422523654,1713422873012,0.14377,0.14462,0.255,300.0,300.0,Cross,Long,All Closed,1713443711894
21,30824211,DOGEUSDT,UM,1713400108284,1713401157910,0.14484,0.14572,0.264,300.0,300.0,Cross,Long,All Closed,1713443432703
22,30677793,DOGEUSDT,UM,1713353794209,1713361173359,0.15246417,0.15322,0.907,1200.0,1200.0,Cross,Long,All Closed,1713361174160
23,30425212,DOGEUSDT,UM,1713238959082,1713239293588,0.15441,0.15522,0.243,300.0,300.0,Cross,Long,All Closed,1713239294061
24,30300249,DOGEUSDT,UM,1713193564113,1713193963809,0.1531,0.15392,0.246,300.0,300.0,Cross,Long,All Closed,1713193963957
25,30293505,DOGEUSDT,UM,1713192869731,1713193408166,0.15317,0.15402,0.765,900.0,900.0,Cross,Long,All Closed,1713193408295
26,30282215,DOGEUSDT,UM,1713190519036,1713190702429,0.15878,0.15986,0.54,500.0,500.0,Cross,Long,All Closed,1713190702580
27,29734001,DOGEUSDT,UM,1713024406669,1713132985618,0.15817837,0.15951952,19.33544987,10000.0,14417.0,Cross,Long,All Closed,1713132985788
28,29724386,DOGEUSDT,UM,1713021131100,1713021488175,0.1697,0.17082,0.336,300.0,300.0,Cross,Long,All Closed,1713021488379
