,id,symbol,type,opened,closed,avgCost,avgClosePrice,closingPnl,maxOpenInterest,closedVolume,isolated,side,status,updateTime
1488,16355567,THETAUSDT,UM,1709658399577,1709661465066,2.90487662,2.9377,0.25273999,7.7,7.7,Cross,Long,All Closed,1709672918305
1489,16351839,1000SHIBUSDT,UM,1709658050770,1709658353755,0.03205916,0.03227724,1.08057296,4955.0,4955.0,Cross,Long,All Closed,1709673844024
1490,16351075,DOGEUSDT,UM,1709657978641,1709658718200,0.15766198,0.15813608,4.23134997,8925.0,8925.0,Cross,Long,All Closed,1709673904171
1491,16350485,1000SHIBUSDT,UM,1709657882157,1709657947437,0.033532,0.033781,0.046563,187.0,187.0,Cross,Long,All Closed,1709673836054
1492,16349415,THETAUSDT,UM,1709657705964,1709657779507,2.9463,2.9796,0.11988,3.6,3.6,Cross,Long,All Closed,1709672773340
1493,16348904,1000SHIBUSDT,UM,1709657630964,1709657760899,0.033764,0.034015,0.046686,186.0,186.0,Cross,Long,All Closed,1709673803195
1494,16347954,DOGEUSDT,UM,1709657492468,1709657970514,0.1656,0.16634,0.13838,187.0,187.0,Cross,Long,All Closed,1709673870558
1495,16347763,DOGEUSDT,UM,1709657478017,1709657484691,0.16476,0.1655,0.13912,188.0,188.0,Cross,Long,All Closed,1709673909269
1496,16347513,1000SHIBUSDT,UM,1709657452619,1709657570683,0.032917,0.033442,0.100275,191.0,191.0,Cross,Long,All Closed,1709673823579
1497,16347289,DOGEUSDT,UM,1709657428677,1709657465989,0.16332,0.16405,0.13797,189.0,189.0,Cross,Long,All Closed,1709673838845
1498,16345111,THETAUSDT,UM,1709657240658,1709657443662,2.947,2.9803,0.11988,3.6,3.6,Cross,Long,All Closed,1709672783365
1499,16344900,1000SHIBUSDT,UM,1709657211276,1709657434012,0.03253839,0.03277051,0.60816599,2620.0,2620.0,Cross,Long,All Closed,1709673765250
1500,16344571,DOGEUSDT,UM,1709657168133,1709657423325,0.16271199,0.16344,0.48777,670.0,670.0,Cross,Long,All Closed,1709673802173
1501,16342281,1000SHIBUSDT,UM,1709656971338,1709657156456,0.03369574,0.03394349,0.25468699,1028.0,1028.0,Cross,Long,All Closed,1709673761540
1502,16340261,1000SHIBUSDT,UM,1709656671391,1709656951132,0.03413,0.034384,0.046482,183.0,183.0,Cross,Long,All Closed,1709673769480
1503,16338423,1000SHIBUSDT,UM,1709656494724,1709656610525,0.03421815,0.034473,0.09301899,365.0,365.0,Cross,Long,All Closed,1709673705529
1504,16337753,1000SHIBUSDT,UM,1709656374066,1709656431493,0.034502,0.035078,0.104256,181.0,181.0,Cross,Long,All Closed,1709673699156
1505,16337331,DOGEUSDT,UM,1709656272328,1709657155845,0.16415412,0.16485775,1.64438999,2337.0,2337.0,Cross,Long,All Closed,1709673816391
1506,16336636,MATICUSDT,UM,1709656159511,1709661001343,1.07785421,1.0887,1.1605,107.0,107.0,Cross,Long,All Closed,1709672969638
1507,16336361,1000SHIBUSDT,UM,1709656076219,1709656131995,0.034403,0.034659,0.046336,181.0,181.0,Cross,Long,All Closed,1709673688689
1508,16335773,1000SHIBUSDT,UM,1709655959980,1709656034291,0.033577,0.033827,0.04625,185.0,185.0,Cross,Long,All Closed,1709673646395
1509,16334333,1000SHIBUSDT,UM,1709655831859,1709655892422,0.03318,0.033689,0.095692,188.0,188.0,Cross,Long,All Closed,1709673624979
1510,16331413,THETAUSDT,UM,1709655638397,1709655727753,2.9228,2.9559,0.11916,3.6,3.6,Cross,Long,All Closed,1709672647996
1511,16331128,1000SHIBUSDT,UM,1709655591677,1709655747585,0.031978,0.032216,0.04641,195.0,195.0,Cross,Long,All Closed,1709673626120
1512,16320068,THETAUSDT,UM,1709655106332,1709655458975,2.8824,2.915,0.11736,3.6,3.6,Cross,Long,All Closed,1709672665820
1513,16300838,THETAUSDT,UM,1709654612263,1709655006158,2.88727812,2.91989999,0.52195,16.0,16.0,Cross,Long,All Closed,1709672655383
1514,16297613,1000SHIBUSDT,UM,1709654452428,1709655441451,0.03210093,0.03233755,0.24986799,1056.0,1056.0,Cross,Long,All Closed,1709673634232
1515,16295617,1000SHIBUSDT,UM,1709654235592,1709654422432,0.03371302,0.03396108,0.25277199,1019.0,1019.0,Cross,Long,All Closed,1709673409744
1516,16293513,DOGEUSDT,UM,1709653996060,1709656266540,0.16937326,0.16988094,4.17620997,8226.0,8226.0,Cross,Long,All Closed,1709673820102
1517,16289861,DOGEUSDT,UM,1709653596229,1709653973066,0.17752,0.17832,0.1384,173.0,173.0,Cross,Long,All Closed,1709673608424
1518,16286696,THETAUSDT,UM,1709653316485,1709654215553,2.9848,3.0186,0.1183,3.5,3.5,Cross,Long,All Closed,1709672570882
1519,16273529,THETAUSDT,UM,1709652423436,1709653021295,2.9914,3.0252,0.1183,3.5,3.5,Cross,Long,All Closed,1709672502066
1520,16258237,DOGEUSDT,UM,1709651107659,1709653578626,0.17632106,0.17685012,4.16790996,7878.0,7878.0,Cross,Long,All Closed,1709673625672
1521,16257105,THETAUSDT,UM,1709650996766,1709651531077,2.9898,3.0236,0.1183,3.5,3.5,Cross,Long,All Closed,1709672419075
1522,16242219,DOGEUSDT,UM,1709649045506,1709649438374,0.18501,0.18584,0.13695,165.0,165.0,Cross,Long,All Closed,1709673433753
1523,16241157,DOGEUSDT,UM,1709648860539,1709649027221,0.18416,0.18499,0.13778,166.0,166.0,Cross,Long,All Closed,1709673402177
1524,16232422,THETAUSDT,UM,1709647810075,1709650224909,2.9976,3.0315,0.11865,3.5,3.5,Cross,Long,All Closed,1709672353662
1525,16230339,DOGEUSDT,UM,1709647516123,1709648826288,0.18272513,0.18355,0.48749999,591.0,591.0,Cross,Long,All Closed,1709673363924
1526,16228882,DOGEUSDT,UM,1709647353967,1709647432181,0.18562,0.18645,0.13695,165.0,165.0,Cross,Long,All Closed,1709673352287
1527,16212149,MATICUSDT,UM,1709644077008,1709656153308,1.09401514,1.10490387,3.09239999,284.0,284.0,Cross,Long,All Closed,1709672766355
1528,16203472,DOGEUSDT,UM,1709642294917,1709642328569,0.18223,0.18305,0.13776,168.0,168.0,Cross,Long,All Closed,1709673155215
1529,16200607,DOGEUSDT,UM,1709641481063,1709642166225,0.18233,0.18315,0.13694,167.0,167.0,Cross,Long,All Closed,1709673142606
1530,16189097,DOGEUSDT,UM,1709638364648,1709640955873,0.18286,0.18368,0.13694,167.0,167.0,Cross,Long,All Closed,1709673047531
1531,16185623,DOGEUSDT,UM,1709637387053,1709637769325,0.18276,0.18358,0.13694,167.0,167.0,Cross,Long,All Closed,1709672942473
1532,16184361,THETAUSDT,UM,1709637133740,1709644876284,2.98290833,3.0166,0.52559,15.6,15.6,Cross,Long,All Closed,1709672158206
1533,16180761,THETAUSDT,UM,1709636036345,1709636704298,3.0825,3.1174,0.11866,3.4,3.4,Cross,Long,All Closed,1709671883540
1534,16176843,THETAUSDT,UM,1709634938836,1709635514045,3.0824,3.1173,0.11866,3.4,3.4,Cross,Long,All Closed,1709671893242
1535,16171658,THETAUSDT,UM,1709633619505,1709634165188,3.0821,3.117,0.11866,3.4,3.4,Cross,Long,All Closed,1709671820109
1536,16169193,DOGEUSDT,UM,1709632995993,1709633053965,0.18003,0.18084,0.13689,169.0,169.0,Cross,Long,All Closed,1709672746511
